p,h,<m>,sd(m)
8,1.2381,0.993104,0.000477058
8,1.14286,0.992336,0.000930755
8,1.04762,0.990504,0.00105545
8,0.952381,0.990472,0.00210134
8,0.857143,0.99032,0.000938083
8,0.761905,0.987976,0.00107081
8,0.666667,0.98808,0.00115239
8,0.571429,0.984072,0.000741631
8,0.47619,0.980024,0.00134381
8,0.380952,0.979568,0.000937537
8,0.285714,0.974216,0.00230888
8,0.190476,0.974248,0.00180069
8,0.0952381,0.966944,0.000904248
8,-1.11022e-16,0.953952,0.00213637
8,-0.0952381,0.94776,0.00252856
8,-0.190476,0.922552,0.00177834
8,-0.285714,0.860152,0.00744715
8,-0.380952,0.635416,0.0251189
8,-0.47619,0.12124,0.0467552
8,-0.571429,-0.637592,0.0435541
8,-0.666667,-0.962024,0.00613092
8,-0.761905,-0.987672,0.00145754
8,-0.857143,-0.990648,0.00105266
8,-0.952381,-0.991288,0.000896357
8,-1.04762,-0.99032,0.000973242
8,-1.14286,-0.992504,0.000614804
8,-1.2381,-0.992624,0.000623076
8,-1.33333,-0.992632,0.000504951
8,-1.42857,-0.996088,0.00086363
8,-1.52381,-0.995312,0.000568732
8,-1.61905,-0.99596,0.00062482
8,-1.71429,-0.996792,0.00104074
8,-1.80952,-0.996192,0.000401915
8,-1.90476,-0.997656,0.000436422
9,-1.90476,-0.997128,0.00043774
9,-1.80952,-0.996424,0.000432
9,-1.71429,-0.996568,0.000478932
9,-1.61905,-0.995984,0.000533427
9,-1.52381,-0.994904,0.00081999
9,-1.42857,-0.994624,0.000667701
9,-1.33333,-0.995688,0.000551594
9,-1.2381,-0.992032,0.00068511
9,-1.14286,-0.991,0.00106733
9,-1.04762,-0.990448,0.000938561
9,-0.952381,-0.989928,0.00104901
9,-0.857143,-0.988688,0.00126628
9,-0.761905,-0.98904,0.000614492
9,-0.666667,-0.983552,0.000960467
9,-0.571429,-0.985256,0.0013176
9,-0.47619,-0.982328,0.00155834
9,-0.380952,-0.977832,0.00137134
9,-0.285714,-0.976096,0.00112302
9,-0.190476,-0.974768,0.00234993
9,-0.0952381,-0.959136,0.00110087
9,1.11022e-16,-0.948464,0.00164897
9,0.0952381,-0.950536,0.0023554
9,0.190476,-0.928368,0.00285135
9,0.285714,-0.858984,0.00543203
9,0.380952,-0.703088,0.0118553
9,0.47619,-0.213832,0.0480631
9,0.571429,0.583728,0.0580426
9,0.666667,0.974752,0.00338149
9,0.761905,0.985224,0.00122549
9,0.857143,0.990856,0.000636289
9,0.952381,0.99292,0.000809938
9,1.04762,0.992256,0.00166519
9,1.14286,0.993872,0.000387319
9,1.2381,0.993544,0.00063124
9,1.33333,0.993856,0.000665781
9,1.42857,0.994488,0.000542822
9,1.52381,0.994752,0.000794541
9,1.61905,0.996288,0.000530901
9,1.71429,0.996128,0.000496
9,1.80952,0.997264,0.000410736
9,1.90476,0.997704,0.000362745
